"","category","name","price","ratings","no_of_reviews"
"58","Socks","Womens Thermal Merino Wool Socks Warm Winter Walking Cozy Hiking Long Heavy Comfy welly Socks Thick Crew Work Soft Boot Socks 5 Pairs","£2.36","4.6 out of 5 stars","5,173"
"59","Socks","Bamboo No Show Trainer Socks for Womens and Men - 8 Pairs Non Slip Low Cut Ankle Socks Sneaker Invisible Footies Loafers Casual Boat Shoes","£10.80","4.6 out of 5 stars","2,467"
"60","Socks","Casual Socks (Pack of 6)","£3.60","4.5 out of 5 stars","309"
"61","Socks","(6-Pack) Men’s Socks with HyFresh Odour Protection Technology 6-11 UK, Colour Options, Soft 24hr Dress Socks Mens Socks Ideal for Work and Casual Wear Breathable, Soft, Durable","£9.99","4.4 out of 5 stars","2,554"
"62","Socks","Mens Colorful Fun Dress Socks - Funky Pattern Socks Novelty Smart Design Cotton Casual Calf Socks 6 Pairs","£1.67","4.7 out of 5 stars","1,735"
"63","Socks","10-Pack Crew Socks for Men Women Cushion Unisex Crew Socks, Pack of 10 Pairs","£9.82","4.5 out of 5 stars","565"
"64","Socks","Unisex Bold 3-stripes Cushioned Crew Socks 3 Pairs Socks (pack of 1)","£1.64","4.1 out of 5 stars","41"
"65","Socks","Unisex Quarter Socks (3 Pair Pack)","£8.99","4.5 out of 5 stars","30,422"
"66","Socks","Mens Socks 6 Pairs, Socks Mens Multipack for Work, Walking, Sports, Hiking, Running, Cycling, Breathable Cotton Socks, Cushioned Crew Socks, Anti-Blister, Anti-Odour, Moisture-Wicking","£3.00","4.4 out of 5 stars","413"
"67","Socks","Circorld Mens Socks Wicking Breathable Cushion Crew Socks Men Women Anti-Blister Athletic Socks Multipack for Everyday Wear Running Work Walking Cycling Sports Hiking 5 Pairs 5-8 9-11 12-14","£13.65","4.5 out of 5 stars","504"
"68","Socks","Mens Socks (5 or 10 Pair Pack) by Mat & Vic's Cotton Classic Comfortable Breathable","£2.28","4.6 out of 5 stars","16,227"
"69","Socks","Crew Socks (Pack of 3)","£9.57","4.7 out of 5 stars","154"
"70","Socks","Sports Socks Cushioned Running Socks Trainer Socks for Men Women Cotton Ankle Socks Low Cut Athletic Walking Socks (6 Pairs)","£0.96","4.6 out of 5 stars","3,429"
"71","Socks","MP Hosiery ZombaFlo® 6 Pairs Diabetic Socks for Men NON Elastic Soft Grip Comfortable Tops cotton Rich Colorful Heel and Toe UK Size 6-11","£10.41","4.5 out of 5 stars","263"
"72","Socks","Graduated Compression Socks, 21-26mmHg, Flight Socks, Running, Women & Men","£9.16","4.3 out of 5 stars","9,328"
"73","Socks","Mens Black Extra Wide Big Foot Comfort Fit Diabetic Socks (3 Pair Pack), UK 11-14 (EU 45-49), Black","£0.92","4.4 out of 5 stars","1,535"
"74","Socks","NEW 4 pairs Mens Arctic Comfort ® Thick Thermal Wool Socks High Tog Rating","£11.66","4.5 out of 5 stars","3,548"
"75","Socks","Men's Socks","£2.33","4.6 out of 5 stars","291"
"76","Socks","Thick Thermal Winter Socks – Pack of 3 Pairs – Socks, Thermal Socks, Warm Socks, Thick Socks, Insulated Socks – For Men Women and Kids - Adult Size 6-11 UK, Black, One Size","£9.99","3.7 out of 5 stars","578"
"77","Socks","Women's Cotton Lightly Cushioned Crew Socks, 10 Pairs","£1.25","4.5 out of 5 stars","11,291"
